Deskripsi,Label
Saya tertarik mempelajari obat-obatan dan bagaimana cara kerjanya di dalam tubuh manusia.,Farmasi
Sejak kecil saya ingin menjadi apoteker dan membantu orang melalui pengetahuan tentang obat.,Farmasi
"Saya suka biologi dan kimia, terutama tentang metabolisme dan efek samping obat.",Farmasi
Saya ingin membuat obat herbal modern dari bahan alami Indonesia.,Farmasi
Saya ingin mendalami cara meracik dan memformulasikan obat yang aman dan efektif.,Farmasi
Saya sering penasaran dengan kandungan dalam obat yang saya konsumsi.,Farmasi
Saya ingin bekerja di industri farmasi dan ikut mengembangkan obat baru.,Farmasi
Saya menyukai pelajaran kimia dan ingin memanfaatkannya untuk dunia kesehatan.,Farmasi
Saya ingin meneliti obat-obatan yang bisa menyembuhkan penyakit kronis.,Farmasi
"Saya tertarik dengan bidang kesehatan tapi tidak ingin jadi dokter, lebih ke arah obat.",Farmasi
Saya ingin berkontribusi dalam pengawasan obat dan keamanan konsumsi masyarakat.,Farmasi
Saya ingin bekerja di BPOM atau industri obat sebagai formulator.,Farmasi
Saya suka menganalisis kandungan zat dalam produk kesehatan.,Farmasi
Saya ingin membantu masyarakat memahami cara penggunaan obat yang benar.,Farmasi
Saya merasa tertarik dengan proses uji klinis dan pengembangan obat.,Farmasi
Saya ingin menjadi ahli farmasi yang bisa memberi edukasi ke masyarakat.,Farmasi
Saya suka membuat catatan tentang obat dan efek sampingnya.,Farmasi
Saya ingin membuat produk kosmetik berbahan alami yang aman digunakan.,Farmasi
Saya punya ketertarikan terhadap dunia suplemen dan nutrisi.,Farmasi
Saya ingin bekerja di laboratorium farmasi dan melakukan riset.,Farmasi
Saya tertarik dengan cara kerja antibiotik dan obat kanker.,Farmasi
Saya ingin mengetahui cara kerja vaksin dan pengembangannya.,Farmasi
Saya menyukai pelajaran IPA dan ingin fokus ke kimia dan kesehatan.,Farmasi
Saya sering membantu keluarga membeli obat dan ingin tahu lebih dalam soal itu.,Farmasi
